Driver,Class,Team,Total Scored,Drop Adjusted
Mickaël Buchet,Gold,Hexago Motorsports Orange,872,810
Axel Bijker,Gold,MAD Sim Racing Yellow,576,576
Paul Kerry,Silver,STR Tech St Oswald's,562,562
Peter Abraham Jonkers,Silver,Team Racing Lions,494,494
Rudi Jetten,Bronze,Mighty Pink Panther Racing,479,451
David Narbonne,Silver,Smurf Racing Team,444,444
Ruud Schoorl,Silver,Team Racing Lions,437,437
Ola Särnkvist,Bronze,STR Tech Ablestoke,405,405
Kévin Rigs,Silver,Hexago Motorsports Magenta,402,402
Jeff Sanders,Bronze,Driving Miss Daisy,441,394
Franck Courdier,Bronze,Hexago Motorsports Silver,381,381
Zachary Hanke,Bronze,MAD Sim Racing Blue,403,378
Alaphilippe Pierre-Etienne,Silver,Hexago Motorsports Orange,367,367
Jorn Westeneng2,Gold,Simracing Team NL,330,330
Patrick Nadarzinski,Bronze,Mighty Pink Panther Racing,306,306
Bruno Albino,Bronze,STR Tech Steel,291,291
Rasmus Greiner,Bronze,GAS Racing,283,283
Patrick Vandenberg,Silver,Q Tox Racing,278,278
Jon Payne,Silver,OnlyFoolsGaming,275,275
Tiago Ranito,Bronze,AGT Drivers,269,269
Thierry Raffier,Silver,Hexago Motorsports Silver,260,260
Simon Ball,Silver,Big Bang Racing SD,245,245
Rob S Taylor,Gold,STR Tech St Oswald's,242,242
Cyril Blanco,Silver,Hexago Motorsports Blue,231,231
Mat Monestier,Gold,Hexago Motorsports Green,226,226
Linda Noble,Bronze,Driving Miss Daisy,216,216
Rúben Leitão,Gold,eSports Alliance,200,200
Dan Babic,Bronze,Big Bang Racing SD,199,199
Damien Levange,Bronze,Hexago Motorsports Magenta,187,187
Craig Brickwood,Bronze,Big Bang Racing CB,172,172
Zeff Cosemans,Bronze,Privateer,166,166
Nicholas Garforth,Bronze,STR Tech Steel,148,148
Lucas Ahlberg,Bronze,MAD Sim Racing Blue,146,146
Petr Vecerek,Bronze,Privateer,145,145
Barry French,Bronze,Privateer,128,128
Mika Hakala,Bronze,Privateer,123,123
Patrick Bonani,Bronze,Hexago,114,114
Nicolas Ronceray,Silver,Hexago Motorsports Green,97,97
Alan Murless,Bronze,STR Tech Ablestoke,92,92
Andrew Brunton2,Silver,Privateer,90,90
Jose A. Dominguez,Gold,Wolves Racing,86,86
Mark Royce,Bronze,Team Ass Fault Motorsports,82,82
Tom Vanduffel,Bronze,Privateer,69,69
James Braid,Silver,OnlyFoolsGaming,65,65
Oscar Lopez Paez,Bronze,Wolves Racing 3,65,65
Guilherme Cravo,Silver,eSports Alliance,59,59
Pablo Carracedo,Gold,Wolves Racing,53,53
Banik OP,Bronze,Big Bang Racing CB,50,50
William J Nezamis,Bronze,Whiskey Four Racing,48,48
Salah Bouheniche,Silver,Hexago,33,33
Jorge Carracedo,Bronze,Wolves Racing 3,22,22
Alberto Casado,Bronze,Wolves Racing 2,12,12
Marcus Spry,Gold,MAD Sim Racing Yellow,8,8
Ernesto El Mariachi,Bronze,Hexago Motorsports Blue,0,0
Spiridon Bogas,Bronze,Hellenic Racing Team,0,0
Daniel Ott,Bronze,Team Ass Fault Motorsports,0,0
Jaume Calabuig,Silver,Wolves Racing 2,0,0
Tim Wetzels,Silver,Sampsoid Blue,-2,-2
Mohammad Alhussien,Gold,Privateer,-20,-20
