Driver,Class,Team,Total Scored,Drop Adjusted
Max Woyda,Bronze,TLR Beerserkers,132,132
Rasmus Greiner,Bronze,MiA Ferrari Team,147,131
Daniel Slater,Bronze,Driving Miss Daisy,129,121
Kenneth Maanum,Bronze,Privateer,119,119
Jeff Sanders,Bronze,Driving Miss Daisy,126,115
Zachary Hanke,Bronze,MAD Sim Racing,108,95
Christian Mittelstädt,Bronze,TLR Door Rubbeers,102,93
Yvonne Houffelaar,Bronze,United Sim Team - Simrace 247.com,80,80
Franck Courdier,Bronze,Live-SimRacing White,76,76
Ola Särnkvist,Bronze,STR Tech Ablestoke,72,72
Sophie Aeronwen,Bronze,United Sim Team - Simrace 247.com,65,65
Max Schulz,Bronze,TLR Divebombeers,50,50
Petr Vecerek,Bronze,UKDE Racing,49,49
Linda Noble,Bronze,Privateer,44,44
Alan Murless,Bronze,STR Tech Ablestoke,43,43
Craig Brickwood,Bronze,MiA Black Team,34,34
Klaas Hartman,Bronze,Driving Miss Daisy 2,27,27
Daniel Waghubinger,Bronze,Privateer,26,26
Mark Royce,Bronze,Privateer,23,23
Kari Fox,Bronze,PandaPink eSports,21,21
Rudy Vermeule,Bronze,Privateer,20,20
Doyle Rudolph,Bronze,Privateer,18,18
Steve Rubino,Bronze,Privateer,18,18
Michael Johnson,Bronze,Driving Miss Daisy 2,17,17
Barry French,Bronze,UKDE Racing,13,13
Jörn Dobratz,Bronze,Privateer,8,8
William Nezamis,Bronze,Privateer,1,1
David Denil,Bronze,Privateer,0,0
Ernesto el Mariachi,Bronze,Privateer,0,0
Lucas Ahlberg,Bronze,Privateer,0,0
Manuel C. Vinha,Bronze,Privateer,0,0
Bruno Albino,Bronze,Privateer,0,0
Rubén Abel Lage,Bronze,Privateer,0,0
Alex Harrington,Bronze,Privateer,0,0
Luis Morga,Bronze,Privateer,0,0
Stuart P Taylor,Bronze,Privateer,0,0
Jaimy van Riemsdijk,Bronze,Privateer,0,0
Richard Fleuty,Bronze,Privateer,0,0
Eliza Indriani,Bronze,Privateer,0,0
