Driver,Class,Team,Total Scored,Drop Adjusted
David Narbonne,Bronze,Smurf Racing Team,165,144
Thierry Raffier,Bronze,Hexago Motorsports Silver,138,118
Dan Babic,Bronze,S&D Racing,95,95
Alberto Casado,Bronze,Wolves Racing,74,74
Ola Särnkvist,Bronze,STR Tech AbleStoke,72,72
Rudi Jetten,Bronze,Memorable Pink Panther Racing,75,70
Jeff Sanders,Bronze,Driving Miss Daisy,55,55
Franck Courdier,Bronze,Hexago Motorsports Silver,54,53
Damien Levange,Bronze,Hexago Motorsports Blue,51,51
Mika Hakala,Bronze,STR Tech Steel,47,47
Bruno Albino,Bronze,STR Tech Steel,46,44
Ernesto el Mariachi,Bronze,Hexago Motorsports Blue,42,42
Mark Royce,Bronze,AFM,39,39
Tom Wilson3,Bronze,Sampsoid Blue,38,38
Zachary Hanke,Bronze,MAD Sim Racing,34,34
Craig Brickwood,Bronze,CB Racing,21,21
Rasmus Greiner,Bronze,GAS Racing,20,20
João Gomes5,Bronze,HBC Racing e-Team,16,16
Linda Noble,Bronze,Driving Miss Daisy,15,15
Carl Warwick,Bronze,Privateer,14,14
Lucas Ahlberg,Bronze,A License to Lose,11,11
Petr  Vecerek,Bronze,Privateer,11,11
Christopher Stewenson,Bronze,Hexago Motorsports #6,10,10
Carlos Sanjuán,Bronze,KTD Competición,7,7
George Masters,Bronze,Memorable Pink Panther Racing,5,5
Tibald Bisanzio,Bronze,Privateer,5,5
Alan Murless,Bronze,STR Tech AbleStoke,3,3
Vincent Vandamme,Bronze,Privateer,3,3
William J Nezamis,Bronze,Masterful Pink Panther Racing,1,1
Max Woyda,Bronze,Privateer,0,0
Simon Smart,Bronze,Only Fools Gaming,0,0
Mickael Velho,Bronze,Privateer,-15,-15
