Driver,Class,Team,Total Scored,Drop Adjusted
Peter Abraham Jonkers,Silver,Team Racing Lions,240,207
Kean van den Berg,Silver,Simracing Team NL,169,169
Ruud Schoorl,Silver,Team Racing Lions,145,145
Iestyn Chiapelone,Silver,MIA Team Porsche,138,138
Matevz Bas,Silver,TLR Deep Pink,110,110
Zachary Hanke,Silver,MAD Sim Racing Yellow,120,102
David Narbonne,Silver,Smurf Racing Team,91,91
Daniel Justou,Silver,Privateer,83,83
Ryan G Williams,Silver,NiX Simsport,81,81
Jukka Aho,Silver,STR Tech OFG,79,79
Thierry Raffier,Silver,Hexago Motorsport Silver,77,77
Ryan Burgess,Silver,MIA Team Slowbros,73,73
Rudi Jetten,Silver,Privateer,62,62
Kevin Keene,Silver,Privateer,60,60
Paul Davy,Silver,NiX Simsport,51,51
Tiago Ranito,Silver,Portugeezers Racing Team,40,40
Stephane Henriques,Silver,Smurf Racing Team,26,26
Cyril Blanco,Silver,Hexago Motorsport Green,20,20
Esmeralda van der Naald,Silver,eTeamBrit,17,17
Ola Särnkvist,Silver,STR Tech Ablestoke,13,13
Marc Mathis,Silver,Privateer,9,9
Jeffrey Reinhardt,Silver,Privateer,7,7
Alaphilippe Pierre-Etienne,Silver,Hexago Motorsport Blue,0,0
Dan Babic,Silver,---,0,0
Zeff Cosemans,Silver,Privateer,0,0
Chriss Lindenau,Silver,Privateer,0,0
James Braid,Silver,Privateer,0,0
Salah Bouheniche,Silver,Privateer,0,0
Richard Symons,Silver,MIA Team Mercedes,0,0
Hugo Miguel Pereira,Silver,PIT,0,0
Luis De Ferreira,Silver,Privateer,0,0
José Castro Fonseca,Silver,PIT - Portugal iRacing Team,0,0
Lia van Stevelen,Silver,Privateer,-5,-5
Bruno Viçoso,Silver,Privateer,-5,-5
