Driver,Class,Team,Total Scored,Drop Adjusted
Mat Monestier,Gold,Live-SimRacing Pink,635,635
Axel Bijker,Gold,MAD Sim Racing,631,572
Nathaniel Ivanusa,Gold,TLR Beerserkers,505,505
Matevz Bas,Gold,TLR Zero Beero,468,468
Philipp Schwörke,Gold,TLR Divebombeers,462,462
Rob S Taylor,Gold,STR Tech St Oswalds,458,429
Jorn Westeneng,Gold,Simracing Team NL,464,410
Jørgen Grøndal,Silver,Privateer,377,377
Jukka A Aho,Silver,Privateer,325,325
Rasmus Greiner,Bronze,MiA Ferrari Team,350,314
Dan Babic,Silver,MiA Black Team,310,310
Simon Ball,Gold,TLR Door Rubbeers,309,309
Max Woyda,Bronze,TLR Beerserkers,304,304
Kenneth Maanum,Bronze,Privateer,293,293
Peter Abraham Jonkers,Gold,TLR Zero Beero,286,286
Daniel Slater,Bronze,Driving Miss Daisy,287,268
Jeff Sanders,Bronze,Driving Miss Daisy,269,249
Ruud Schoorl,Silver,Rogue Racing,243,243
Cyril Blanco,Silver,Live-SimRacing Pink,242,242
Paul Kerry,Gold,STR Tech St Oswalds,239,239
Patrick Vandenberg,Silver,United Sim Team,290,237
Zachary Hanke,Bronze,MAD Sim Racing,240,205
Christian Mittelstädt,Bronze,TLR Door Rubbeers,218,198
Daniel Justou,Silver,Privateer,193,193
Iestyn Chiapelone,Silver,MiA Ferrari Team,184,184
Paul Davy,Silver,Nix Simsport,171,171
Alain Day,Gold,Privateer,164,164
Yvonne Houffelaar,Bronze,United Sim Team - Simrace 247.com,156,156
David Narbonne,Silver,Smurf Racing,153,153
Ola Särnkvist,Bronze,STR Tech Ablestoke,150,150
Sophie Aeronwen,Bronze,United Sim Team - Simrace 247.com,145,145
Franck Courdier,Bronze,Live-SimRacing White,138,138
Stephen Kennedy,Gold,Privateer,134,134
Johan Buitenga,Silver,Privateer,122,122
Max Schulz,Bronze,TLR Divebombeers,122,122
Petr Vecerek,Bronze,UKDE Racing,116,116
Ryan G Williams,Silver,Nix Simsport,104,104
Alan Murless,Bronze,STR Tech Ablestoke,103,103
Stephane Henriques,Silver,Smurf Racing,87,87
Baptiste Seguy,Gold,Privateer,82,82
Sabit Vehabovic,Silver,MiA Audi Team,77,77
Craig Brickwood,Bronze,MiA Black Team,75,75
Linda Noble,Bronze,Privateer,69,69
Lia van Stevelen,Silver,PandaPink eSports,64,64
Mark Royce,Bronze,Privateer,52,52
Klaas Hartman,Bronze,Driving Miss Daisy 2,48,48
Rudy Vermeule,Bronze,Privateer,47,47
Ryan Burgess,Silver,MiA Audi Team,46,46
Esmeralda van der Naald,Silver,United Sim Team,44,44
Daniel Waghubinger,Bronze,Privateer,40,40
Michael Johnson,Bronze,Driving Miss Daisy 2,36,36
Steve Rubino,Bronze,Privateer,35,35
Kean van den Berg,Silver,Simracing Team NL,29,29
Barry French,Bronze,UKDE Racing,27,27
Jeff Wills,Silver,Privateer,22,22
Kari Fox,Bronze,PandaPink eSports,19,19
Doyle Rudolph,Bronze,Privateer,14,14
William Nezamis,Bronze,Privateer,2,2
Rubén Abel Lage,Bronze,Privateer,0,0
Tiago Ranito,Silver,Privateer,0,0
Manuel C. Vinha,Bronze,Privateer,0,0
Luis Morga,Bronze,Privateer,0,0
Lucas Ahlberg,Bronze,Privateer,0,0
David Denil,Bronze,Privateer,0,0
James Braid,Silver,Privateer,0,0
Alex Harrington,Bronze,Privateer,0,0
Yannick Verheijen,Silver,Privateer,0,0
Ernesto el Mariachi,Bronze,Privateer,0,0
Kevin Keene,Silver,Privateer,0,0
José Castro Fonseca,Silver,Privateer,0,0
Jon Payne,Gold,Privateer,0,0
Mohammad Alhussien,Gold,Rogue Racing,0,0
Bruno Albino,Bronze,Privateer,0,0
Thierry Raffier,Silver,Live-SimRacing White,0,0
Stuart P Taylor,Bronze,Privateer,0,0
Pascal Wagner,Silver,Privateer,0,0
Jaimy van Riemsdijk,Bronze,Privateer,0,0
Richard Fleuty,Bronze,Privateer,0,0
Eliza Indriani,Bronze,Privateer,0,0
Jörn Dobratz,Bronze,Privateer,-5,-5
Jamie Jakins,Silver,Privateer,-20,-20
