Driver,Class,Team,Total Scored,Drop Adjusted
Jørgen Grøndal,Silver,Privateer,127,127
Jukka A Aho,Silver,Privateer,125,125
Dan Babic,Silver,MiA Black Team,120,120
Patrick Vandenberg,Silver,United Sim Team,127,104
Cyril Blanco,Silver,Live-SimRacing Pink,84,84
Ruud Schoorl,Silver,Rogue Racing,82,82
Paul Davy,Silver,Nix Simsport,80,80
Daniel Justou,Silver,Privateer,72,72
David Narbonne,Silver,Smurf Racing,69,69
Iestyn Chiapelone,Silver,MiA Ferrari Team,67,67
Johan Buitenga,Silver,Privateer,65,65
Ryan G Williams,Silver,Nix Simsport,53,53
Sabit Vehabovic,Silver,MiA Audi Team,44,44
Stephane Henriques,Silver,Smurf Racing,43,43
Lia van Stevelen,Silver,PandaPink eSports,33,33
Kean van den Berg,Silver,Simracing Team NL,27,27
Esmeralda van der Naald,Silver,United Sim Team,23,23
Ryan Burgess,Silver,MiA Audi Team,15,15
Jeff Wills,Silver,Privateer,12,12
Thierry Raffier,Silver,Live-SimRacing White,6,6
James Braid,Silver,Privateer,0,0
Tiago Ranito,Silver,Privateer,0,0
Kevin Keene,Silver,Privateer,0,0
José Castro Fonseca,Silver,Privateer,0,0
Yannick Verheijen,Silver,Privateer,0,0
Pascal Wagner,Silver,Privateer,0,0
Jamie Jakins,Silver,Privateer,-5,-5
