Driver,Class,Team,Total Scored,Drop Adjusted
Ruud Schoorl,Silver,STR Tech Ablestoke,199,182
Daniel Justou,Silver,Gentlemen-Racers.org,154,154
David Narbonne,Silver,Smurf Racing Team,142,142
Kenneth Maanum,Silver,Uphill Racing,140,140
Daniel Slater,Silver,Racoon Sim Racing,161,137
Rasmus Greiner,Silver,Project 88,146,135
Marc Mathis,Silver,Gentlemen-Racers.org,115,115
Alain Day,Silver,SimAbility Racing,110,110
Lia van Stevelen,Silver,PandaPink eSports,107,107
Damon A Brierley,Silver,TLR Paulaner,99,99
Patrick Vandenberg,Silver,United Sim Team,97,97
Michael Aparício,Silver,Privateer,72,72
Johan Buitenga,Silver,Privateer,52,52
Max Woyda,Silver,TLR Oettinger,27,27
Stephane Henriques,Silver,Smurf Racing Team,10,10
Franck Courdier,Silver,Privateer,10,10
Iestyn Chiapelone,Silver,Privateer,0,0
Jeff Wills,Silver,Privateer,0,0
Kean van den Berg,Silver,Privateer,0,0
Kevin Keene,Silver,Privateer,0,0
Lander van den Brande,Silver,Privateer,0,0
Tim De Hondt,Silver,Privateer,0,0
Alejandro Torrealba,Silver,Privateer,0,0
Esmeralda van der Naald,Silver,United Sim Team,-2,-2
