Driver,Class,Team,Total Scored,Drop Adjusted
Ola Särnkvist,Bronze,STR Tech Ablestoke,125,125
Rudi Jetten,Bronze,Mighty Pink Panther Racing,124,121
Jeff Sanders,Bronze,Driving Miss Daisy,115,109
Franck Courdier,Bronze,Hexago Motorsports Silver,103,103
Zachary Hanke,Bronze,MAD Sim Racing Blue,93,92
Rasmus Greiner,Bronze,GAS Racing,82,82
Tiago Ranito,Bronze,AGT Drivers,80,80
Patrick Nadarzinski,Bronze,Mighty Pink Panther Racing,67,67
Damien Levange,Bronze,Hexago Motorsports Magenta,65,65
Dan Babic,Bronze,Big Bang Racing SD,64,64
Zeff Cosemans,Bronze,Privateer,61,61
Bruno Albino,Bronze,STR Tech Steel,56,56
Linda Noble,Bronze,Driving Miss Daisy,51,51
Mika Hakala,Bronze,Privateer,44,44
Nicholas Garforth,Bronze,STR Tech Steel,32,32
Petr Vecerek,Bronze,Privateer,30,30
Lucas Ahlberg,Bronze,MAD Sim Racing Blue,30,30
Craig Brickwood,Bronze,Big Bang Racing CB,26,26
Mark Royce,Bronze,Team Ass Fault Motorsports,20,20
Oscar Lopez Paez,Bronze,Wolves Racing 3,20,20
Patrick Bonani,Bronze,Hexago,19,19
Barry French,Bronze,Privateer,18,18
Alan Murless,Bronze,STR Tech Ablestoke,15,15
Tom Vanduffel,Bronze,Privateer,12,12
Banik OP,Bronze,Big Bang Racing CB,9,9
William J Nezamis,Bronze,Whiskey Four Racing,7,7
Alberto Casado,Bronze,Wolves Racing 2,4,4
Jorge Carracedo,Bronze,Wolves Racing 3,2,2
Ernesto El Mariachi,Bronze,Hexago Motorsports Blue,0,0
Daniel Ott,Bronze,Team Ass Fault Motorsports,0,0
Spiridon Bogas,Bronze,Hellenic Racing Team,0,0
