Driver,Class,Team,Total Scored,Drop Adjusted
Sabit Vehabovic,Bronze,MIA Team Mercedes,184,184
Max Woyda,Bronze,TLR Ballet Slipper Pink,169,169
Michael Johnson,Bronze,Driving Miss Daisy,168,159
Franck Courdier,Bronze,Hexago Motorsport Silver,147,147
Daniel Slater,Bronze,Driving Miss Daisy 3,135,124
Petr Vecerek,Bronze,UK-DE Racing,122,122
Patrick Bonani,Bronze,Hexago Motorsport Orange,108,108
Rasmus Greiner,Bronze,Privateer,103,103
Jeff Sanders,Bronze,Driving Miss Daisy,101,101
Barry French,Bronze,UK-DE Racing,99,99
Alan Murless,Bronze,STR Tech Ablestoke,92,92
Klaas Hartman,Bronze,Driving Miss Daisy 3,90,90
Max Schulz,Bronze,TLR Ballet Slipper Pink,71,71
Jörn Dobratz,Bronze,Privateer,61,61
Bruno Albino,Bronze,Hexago Motorsport Orange,38,38
Stuart P. Taylor,Bronze,TGC Racing,28,28
Steve Rubino,Bronze,Privateer,28,28
Craig Brickwood,Bronze,MIA Team Porsche,25,25
Linda Noble,Bronze,Driving Miss Daisy 2,21,21
Lucas Ahlberg,Bronze,Privateer,16,16
Mark Royce,Bronze,Privateer,14,14
Ernesto el Mariachi,Bronze,Hexago Motorsport Blue,13,13
Yvonne Houffelaar,Bronze,Privateer,8,8
Eduardo Carrapato,Bronze,Portugal iRacing Team,6,6
Wing Chau,Bronze,MIA Team Slowbros,5,5
Stuart Davies,Bronze,Privateer,0,0
Felipe Feitoza,Bronze,Portugeezers Racing Team,0,0
Nicholas Garforth,Bronze,Privateer,0,0
William J. Nezamis,Bronze,Privateer,0,0
Augustus Sablinskas,Bronze,Privateer,0,0
David Denil,Bronze,Privateer,0,0
Christian Mittelstädt,Bronze,Privateer,0,0
Sam Voysey,Bronze,Privateer,0,0
Dean E Smith,Bronze,Privateer,0,0
Tom Vanduffel,Bronze,Driving Miss Daisy 2,-5,-5
