Driver,Class,Team,Total Scored,Drop Adjusted
Patrick Vandenberg,Silver,eTeamBRIT,157,135
David Narbonne,Silver,Smurf Racing Team,122,122
Nathaniel Ivanusa,Silver,MIA Team #4,120,120
Ruud Schoorl,Silver,Team Racing Lions,101,101
Peter Abraham Jonkers,Silver,Team Racing Lions,91,91
Richard Symons,Silver,MSR & Symons Racing,87,87
Ola Särnkvist,Silver,STR Tech Ablestoke,75,75
Thierry Raffier,Silver,Hexago Motorsports Silver,36,36
Kean van den Berg,Silver,Simracing Team NL,26,26
Jeffrey Reinhardt,Silver,Reinhardt Racing,19,19
Jonas Greiner,Silver,GAS Racing,0,0
Pierre-Etienne Alaphilippe,Silver,Hexago Motorsports Rainbow,0,0
James Braid,Silver,JB Motorsport,0,0
Frederik Guldborg,Silver,Project Racing,-5,-5
Cyril Blanco,Silver,Hexago Motorsports Rainbow,-10,-10
