Driver,Class,Team,Total Scored,Drop Adjusted
Paul Kerry,Silver,STR Tech St Oswald's,134,134
Peter Abraham Jonkers,Silver,Team Racing Lions,114,114
Ruud Schoorl,Silver,Team Racing Lions,106,106
Kévin Rigs,Silver,Hexago Motorsports Magenta,102,102
David Narbonne,Silver,Smurf Racing Team,98,98
Alaphilippe Pierre-Etienne,Silver,Hexago Motorsports Orange,92,92
Jon Payne,Silver,OnlyFoolsGaming,74,74
Patrick Vandenberg,Silver,Q Tox Racing,73,73
Thierry Raffier,Silver,Hexago Motorsports Silver,61,61
Simon Ball,Silver,Big Bang Racing SD,61,61
Cyril Blanco,Silver,Hexago Motorsports Blue,58,58
Andrew Brunton2,Silver,Privateer,25,25
Nicolas Ronceray,Silver,Hexago Motorsports Green,22,22
James Braid,Silver,OnlyFoolsGaming,16,16
Guilherme Cravo,Silver,eSports Alliance,13,13
Salah Bouheniche,Silver,Hexago,4,4
Jaume Calabuig,Silver,Wolves Racing 2,0,0
Tim Wetzels,Silver,Sampsoid Blue,-1,-1
