Driver,Class,Team,Total Scored,Drop Adjusted
Yvonne Houffelaar,Bronze,United Sim Team - VOOM,166,157
Zachary Hanke,Bronze,MAD Sim Racing Yellow,148,148
Kari Fox,Bronze,PandaPink eSports,147,141
Ola Särnkvist,Bronze,STR Tech Ablestoke,132,132
Stuart P Taylor,Bronze,TGC Racing,131,131
Sophie Aeronwen,Bronze,United Sim Team - VOOM,115,115
Robert Stoten,Bronze,Project 88 Velocity,105,105
Jeff Sanders,Bronze,Racoon Sim Racing,105,105
Christian Mittelstädt,Bronze,TLR Skuumkoppe,101,101
Petr Vecerek,Bronze,goldFinGer,90,90
Jörn Dobratz,Bronze,Privateer,89,89
Max Schulz,Bronze,TLR Oettinger,70,70
Rudy Vermeule,Bronze,SimAbility Racing,59,59
Daniel Waghubinger,Bronze,Project 88 Velocity,57,57
Klaas Hartman,Bronze,Driving Ms Daisy,53,53
Jason Finch,Bronze,Privateer,52,52
Alan Murless,Bronze,STR Tech,50,50
Chris G Barnes,Bronze,Privateer (Former Triple P),45,45
David Denil,Bronze,Privateer,36,36
Nigel Stock,Bronze,Privateer,25,25
William Nezamis,Bronze,MAD Sim Racing Blue,15,15
Rene Rotka,Bronze,Privateer,15,15
James R Williams,Bronze,STR Tech,13,13
Simon Hartley,Bronze,Privateer,10,10
Laura Wiseman,Bronze,PandaPink eSports Fantasy,7,7
Steve Rubino,Bronze,Privateer,6,6
Craig Brickwood,Bronze,Privateer,0,0
Doyle Rudolph,Bronze,Privateer,0,0
Erik Wahlmark,Bronze,Privateer,0,0
Ernesto El Mariachi,Bronze,Hexago,0,0
Mark Royce,Bronze,Privateer,0,0
Patrik Hermansson,Bronze,Privateer,0,0
Byron DeBelleau,Bronze,Privateer,0,0
Jean Alezi,Bronze,Privateer,0,0
Linda Noble,Bronze,Driving Ms Daisy,-3,-3
