Driver,Class,Team,Total Scored,Drop Adjusted
Axel Bijker,Silver,MAD Sim Racing,124,115
Simon Ball2,Silver,S&D Racing,120,112
Paul Kerry,Silver,STR Tech St Oswalds,116,111
Alaphilippe Pierre-etienne,Silver,Hexago Motorsports Orange,107,107
Jukka A Aho,Silver,Sampsoid Blue Skies,89,89
Cyril Blanco,Silver,Hexago Motorsports Orange,76,76
Peter Abraham Jonkers,Silver,Team Racing Lions,63,58
Ruud Schoorl,Silver,Team Racing Lions,62,55
André Fernandes,Silver,Portugal Iracing Team,53,53
Zeff Cosemans,Silver,Mighty Pink Panther Racing,52,52
Niels Dukker,Silver,Sampsoid Blue,49,49
Roman Dubert,Silver,Wolves Racing,43,43
Daniel Ott,Silver,AFM,33,33
Jon Payne,Silver,Only Fools Gaming,19,19
Nicolas Ronceray,Silver,Hexago Motorsports Magenta,16,16
Kevin Rigs,Silver,Hexago Motorsports Magenta,2,2
Sam Taylor,Silver,Mighty Pink Panther Racing,0,0
Christian Gritsko,Silver,Project 2,0,0
David maggioni,Silver,Privateer,-2,-2
