Driver,Class,Team,Total Scored,Drop Adjusted
Philipp Schwörke,Gold,TLR DNF Pink,816,816
Simon Ball,Gold,TLR Deep Pink,698,698
Peter Abraham Jonkers,Silver,Team Racing Lions,775,674
Nathaniel Ivanusa,Gold,TLR DNF Pink,565,565
Axel Bijker,Gold,MAD Sim Racing Yellow,541,541
Kean van den Berg,Silver,Simracing Team NL,526,526
Paul Kerry,Gold,STR Tech St. Oswalds,513,513
Stephen Kennedy,Gold,TGC Racing,487,487
Ruud Schoorl,Silver,Team Racing Lions,436,436
Iestyn Chiapelone,Silver,MIA Team Porsche,430,430
Jorn Westeneng,Gold,Simracing Team NL,438,417
Mat Monestier,Gold,Hexago Motorsport Green,370,370
Max Woyda,Bronze,TLR Ballet Slipper Pink,359,359
Sabit Vehabovic,Bronze,MIA Team Mercedes,351,351
Michael Johnson,Bronze,Driving Miss Daisy,352,332
Matevz Bas,Silver,TLR Deep Pink,321,321
Franck Courdier,Bronze,Hexago Motorsport Silver,299,299
Patrick Vandenberg,Gold,eTeamBrit,296,296
Petr Vecerek,Bronze,UK-DE Racing,273,273
Daniel Slater,Bronze,Driving Miss Daisy 3,273,256
Daniel Justou,Silver,Privateer,253,253
David Narbonne,Silver,Smurf Racing Team,252,252
Jukka Aho,Silver,STR Tech OFG,247,247
Zachary Hanke,Silver,MAD Sim Racing Yellow,284,242
Rob S. Taylor,Gold,STR Tech St. Oswalds,241,241
Patrick Bonani,Bronze,Hexago Motorsport Orange,223,223
Ryan Burgess,Silver,MIA Team Slowbros,219,219
Alan Murless,Bronze,STR Tech Ablestoke,205,205
Rasmus Greiner,Bronze,Privateer,202,202
Ryan G Williams,Silver,NiX Simsport,201,201
Barry French,Bronze,UK-DE Racing,198,198
Jeff Sanders,Bronze,Driving Miss Daisy,192,192
Thierry Raffier,Silver,Hexago Motorsport Silver,190,190
Klaas Hartman,Bronze,Driving Miss Daisy 3,173,173
Paul Davy,Silver,NiX Simsport,159,159
Kevin Keene,Silver,Privateer,152,152
Rudi Jetten,Silver,Privateer,138,138
Tiago Ranito,Silver,Portugeezers Racing Team,137,137
Jörn Dobratz,Bronze,Privateer,130,130
Max Schulz,Bronze,TLR Ballet Slipper Pink,127,127
Jon Payne,Gold,STR Tech OFG,116,116
Stephane Henriques,Silver,Smurf Racing Team,68,68
Esmeralda van der Naald,Silver,eTeamBrit,59,59
Daan Schuuring,Gold,Privateer,56,56
Stuart P. Taylor,Bronze,TGC Racing,53,53
Cyril Blanco,Silver,Hexago Motorsport Green,51,51
Bruno Albino,Bronze,Hexago Motorsport Orange,50,50
Steve Rubino,Bronze,Privateer,49,49
Patrik Thomsen,Gold,Privateer,42,42
Lucas Ahlberg,Bronze,Privateer,39,39
Craig Brickwood,Bronze,MIA Team Porsche,38,38
Mark Royce,Bronze,Privateer,32,32
Ola Särnkvist,Silver,STR Tech Ablestoke,31,31
Marc Mathis,Silver,Privateer,28,28
Ernesto el Mariachi,Bronze,Hexago Motorsport Blue,28,28
Jeffrey Reinhardt,Silver,Privateer,24,24
Yvonne Houffelaar,Bronze,Privateer,24,24
Linda Noble,Bronze,Driving Miss Daisy 2,16,16
Wing Chau,Bronze,MIA Team Slowbros,6,6
Alaphilippe Pierre-Etienne,Silver,Hexago Motorsport Blue,0,0
Richard Symons,Silver,MIA Team Mercedes,0,0
Stuart Davies,Bronze,Privateer,0,0
Dan Babic,Silver,---,0,0
Felipe Feitoza,Bronze,Portugeezers Racing Team,0,0
Nicholas Garforth,Bronze,Privateer,0,0
Zeff Cosemans,Silver,Privateer,0,0
William J. Nezamis,Bronze,Privateer,0,0
Augustus Sablinskas,Bronze,Privateer,0,0
David Denil,Bronze,Privateer,0,0
Alistair Kirk,Gold,Privateer,0,0
Chriss Lindenau,Silver,Privateer,0,0
Christian Mittelstädt,Bronze,Privateer,0,0
James Braid,Silver,Privateer,0,0
Fransisco Santos Pereira,Gold,Privateer,0,0
Sam Voysey,Bronze,Privateer,0,0
Salah Bouheniche,Silver,Privateer,0,0
Dean E Smith,Bronze,Privateer,0,0
Rúben Leitão,Gold,PIT,0,0
Hugo Miguel Pereira,Silver,PIT,0,0
Luis De Ferreira,Silver,Privateer,0,0
Ivan Emanuel Amaro,Gold,Portugal iRacing Team,0,0
Miguel Cordeiro,Gold,PIT - Portugal iRacing Team,0,0
José Castro Fonseca,Silver,PIT - Portugal iRacing Team,0,0
Eduardo Carrapato,Bronze,Portugal iRacing Team,-6,-6
Lia van Stevelen,Silver,Privateer,-20,-20
Bruno Viçoso,Silver,Privateer,-20,-20
Tom Vanduffel,Bronze,Driving Miss Daisy 2,-20,-20
