Driver,Class,Team,Total Scored,Drop Adjusted
Philipp Schwörke,Gold,Track Limit Racing,740,740
Axel Bijker,Gold,MSR & Symons Racing,686,686
Jorn Westeneng,Gold,Simracing Team NL,682,663
Rob S Taylor,Gold,STR Tech St. Oswalds,682,613
Paul Kerry,Gold,STR Tech St. Oswalds,692,592
Dan Babic,Bronze,MIA Team #1,591,551
Simon Ball,Gold,STR Tech Ablestoke,548,548
Nathaniel Ivanusa,Silver,MIA Team #4,450,450
Zeff Cosemans,Bronze,Mighty Pink Panther Racing,424,424
Mickäel Buchet,Gold,Hexago Motorsports Green,378,378
Jon Payne,Gold,Onlyfools Gaming,372,372
Patrick Vandenberg,Silver,eTeamBRIT,414,357
David Narbonne,Silver,Smurf Racing Team,341,341
Tiago Ranito,Bronze,AGT Drivers,335,335
Matevz Bas,Bronze,MiA Culpa,288,288
Jeff Sanders,Bronze,Driving Miss Daisy,323,282
Zachary Hanke,Bronze,MAD Sim Racing Blue,279,279
Ruud Schoorl,Silver,Team Racing Lions,274,274
Patrick Nadarzinski,Bronze,Driving Miss Daisy 2,258,258
Sabit Vehabovic,Bronze,MIA Slowbros,231,231
Ryan G Williams,Bronze,TGC Racing,230,230
Christian Mittelstädt,Bronze,Hyprix Racing,228,228
Richard Symons,Silver,MSR & Symons Racing,228,228
Rasmus Greiner,Bronze,GAS Racing,225,225
Rudi Jetten,Bronze,Mighty Pink Panther Racing,223,223
Ola Särnkvist,Silver,STR Tech Ablestoke,202,202
Peter Abraham Jonkers,Silver,Team Racing Lions,196,196
Hasan Kasirga,Bronze,MiA Culpa,195,195
Barry French,Bronze,UK-DE Racing,189,189
Michael Johnson,Bronze,Driving Miss Daisy 2,189,189
Daniel Slater,Bronze,Danielsito.dk,188,188
Craig Brickwood,Bronze,MIA Team #4,183,183
Nicholas Garforth,Bronze,STR Tech Steel,182,182
Alan Murless,Bronze,STR Tech Blue,182,182
Petr Vecerek,Bronze,UK-DE Racing,167,167
Christopher Stewenson,Bronze,Hexago Motorsports Blue,155,155
Iestyn Chiapelone,Gold,quasimotorport,154,154
Stephane Henriques,Bronze,Smurf Racing Team,142,142
Banik OP,Bronze,MIA Team #1,123,123
Lucas Ahlberg,Bronze,MAD Sim Racing Blue,114,114
Patrick Bonani,Bronze,Hexago Motorsports Blue,110,110
Thierry Raffier,Silver,Hexago Motorsports Silver,94,94
Max Schulz,Bronze,HyPrix Racing,94,94
Ryan Burgess,Bronze,MIA Slowbros,92,92
Esmeralda van der Naald,Bronze,eTeamBRIT,92,92
Max Woyda,Bronze,Privateer,92,92
David Denil,Bronze,Privateer,83,83
Tom Vanduffel,Bronze,Driving Miss Daisy 3,78,78
Felipe Feitoza,Bronze,Core Motorsport,76,76
Jessie Jones,Bronze,Driving Miss Daisy 3,70,70
Bruno Albino,Bronze,STR Tech Steel,69,69
Linda Noble,Bronze,Driving Miss Daisy,66,66
Jeffrey Reinhardt,Silver,Reinhardt Racing,63,63
Kean van den Berg,Silver,Simracing Team NL,59,59
Mark Royce,Bronze,Ass Fault Motorsports,48,48
Stuart P. Taylor,Bronze,TGC Racing,38,38
Tobias Trub,Bronze,Privateer,35,35
Franck Courdier,Bronze,Hexago Motorsports Silver,34,34
Augustus Sablinskas,Bronze,Privateer,27,27
William Nezamis,Bronze,Onlyfools Gaming,26,26
Wing Chau,Bronze,Privateer,23,23
Tyler Katoe,Bronze,Privateer,0,0
Ernesto el Mariachi,Bronze,Hexago Motorsports Green,0,0
James Braid,Silver,JB Motorsport,0,0
José A Dominguez,Gold,Wolves Racing,0,0
Pierre-Etienne Alaphilippe,Silver,Hexago Motorsports Rainbow,0,0
Sebastián Moltó,Bronze,IBN,0,0
Jonas Greiner,Silver,GAS Racing,0,0
Joris Senhorst,Bronze,Privateer,0,0
Patrick Hingston,Gold,Privateer,0,0
Steve Rubino,Bronze,Hobo Racing,0,0
Frederik Guldborg,Silver,Project Racing,-20,-20
Paul Alexander,Bronze,Privateer,-20,-20
Cyril Blanco,Silver,Hexago Motorsports Rainbow,-40,-40
